#OTU ID	A10r-L10_S12	A10r-L7_S9	A10r-L8_S10	A10r-L9_S11	A11K-L10_S44	A11K-L7_S41	A11K-L8_S42	A11K-L9_S43	A13r-L10_S16	A13r-L7_S13	A13r-L8_S14	A13r-L9_S15	A14K-L10_S48	A14K-L7_S45	A14K-L8_S46	A14K-L9_S47	A2r-L10_S4	A2r-L7_S1	A2r-L8_S2	A2r-L9_S3	A3K-L10_S36	A3K-L7_S33	A3K-L8_S34	A3K-L9_S35	A5r-L10_S8	A5r-L7_S5	A5r-L8_S6	A5r-L9_S7	A6K-L10_S40	A6K-L7_S37	A6K-L8_S38	A6K-L9_S39	W10K-L10_S60	W10K-L7_S57	W10K-L8_S58	W10K-L9_S59	W13r-L10_S32	W13r-L7_S29	W13r-L8_S30	W13r-L9_S31	W14K-L10_S64	W14K-L7_S61	W14K-L8_S62	W14K-L9_S63	W1r-L10_S20	W1r-L7_S17	W1r-L8_S18	W1r-L9_S19	W2K-L10_S52	W2K-L7_S49	W2K-L8_S50	W2K-L9_S51	W5r-L10_S24	W5r-L7_S21	W5r-L8_S22	W5r-L9_S23	W7K-L10_S56	W7K-L7_S53	W7K-L8_S54	W7K-L9_S55	W9r-L10_S28	W9r-L7_S25	W9r-L8_S26	W9r-L9_S27	K4-aw_S83	K5-aw_S85	K6-aw_S87	K7b-aw_S81	r4-aw_S84	r5-aw_S86	r6-aw_S88	r7b-aw_S82	A10r-rw_S75	A11K-rw_S67	A13r-rw_S76	A14K-rw_S68	A2r-rw_S73	A3K-rw_S65	A5r-rw_S74	A6K-rw_S66	W10K-rw_S71	W13r-rw_S80	W14K-rw_S72	W1r-rw_S77	W2K-rw_S69	W5r-rw_S78	W7K-rw_S70	W9r-rw_S79				
Zotu44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Zotu27	0	0	0	0	315	776	0	0	0	0	0	0	0	0	0	0	2992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1324	0	0	0	0	0	119	0	0	0	0	0	0	0	544	0	0	0	0	0	0	0	0	0	0	90	0	327	0	6123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Zotu60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Zotu51	0	0	0	0	0	0	0	0	0	0	4348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	1	0	0	0	0	2	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Zotu48	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2434	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	624	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Zotu22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	250	1	0	0	0	0	0	86	42	0	0	0	0	1410	0	3	11	6	8	13	157	35	16	219	15	80	22	262	14	94	20	3	162	9	140	12	56	14	136				
Zotu57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Zotu61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Zotu65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Zotu68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
