#OTU ID	FD8_FTS2_21	FD8_FTS3_31	FD8_MMS4_2	FD8_MMS4_6	FD8_MMS4_10	FD8_MMS5_21	WD4_RAS7_	FD8_MMS6_26	FD8_MMS6_28	FD8_MMS6_31	FD8_RAS7_6	FD8_RAS7_9	FD8_RAS8_16	FD8_RAS8_18	FD8_RAS9_33	WD4_RAS8_	FD8_RAS9_35	FD8_RAS9_36	FD17_FTS1_10	WD4_RAS9_	FD17_FTS3_28	FD17_FTS3_31	FD17_FTS3_36	FD17_MMS4_10	FD17_MMS5_17	FD17_MMS5_18	FD17_MMS6_26	WD8_FTS1_	FD17_MMS6_28	FD17_MMS6_30	FD46_RAS8_16	FD17_RAS8_17	FD17_RAS8_21	FD17_RAS9_29	WD8_FTS2_	FD17_RAS9_35	FD8_FTS1_7	FD8_FTS2_16	WD8_FTS3_	FD8_FTS3_27	FD8_FTS3_29	FD8_MMS5_19	FD8_MMS5_20	FD8_RAS7_2	FD8_RAS8_20	WD8_MMS4_	FD17_FTS1_1	FD17_FTS1_7	FD17_FTS2_14	FD17_FTS2_17	FD17_FTS2_19	FD17_MMS4_3	FD17_MMS4_8	WD8_MMS5_	FD17_MMS5_20	FD17_RAS7_1	FD17_RAS7_4	FD17_RAS7_8	FD17_RAS9_25	WD8_MMS6_	WD8_RAS7_	WD1_FTS1_	FD30_FTS1_1	FD30_FTS1_2	FD30_FTS1_8	FD30_FTS1_10	FD30_FTS2_14	FD30_FTS2_23	FD30_FTS2_22	WD8_RAS8_	FD30_FTS3_27	FD30_FTS3_30	FD30_MMS4_5	WD8_RAS9_	FD30_MMS4_7	FD30_MMS4_8	FD30_MMS5_14	FD30_MMS5_21	FD30_MMS5_23	FD30_MMS6_27	WD16_FTS1_	FD30_MMS6_34	FD30_MMS6_28	FD30_RAS7_4	FD30_RAS7_6	FD30_RAS7_10	FD30_RAS8_15	WD16_FTS2_	FD30_RAS8_16	FD30_RAS8_19	FD30_RAS9_1	FD30_RAS9_8	FD30_RAS9_11	FD46_FTS1_2	WD16_FTS3_	FD46_FTS1_8	FD46_FTS1_10	FD46_FTS2_13	FD46_FTS2_19	FD46_FTS2_23	WD16_MMS4_	FD46_FTS3_29	FD46_FTS3_30	FD46_FTS3_34	FD46_MMS4_8	FD46_MMS4_10	FD46_MMS4_11	FD46_MMS4_13	WD16_MMS5_	FD46_MMS5_16	FD46_MMS5_22	FD46_MMS6_28	FD46_MMS6_29	FD46_MMS6_35	FD46_RAS7_7	WD16_MMS6_	FD46_RAS7_8	FD46_RAS7_11	FD17_RAS8_16	FD46_RAS8_18	FD46_RAS8_23	FD46_RAS9_30	WD16_RAS7_	FD46_RAS9_31	FD46_RAS9_32	WD16_RAS8_	WD1_MMS4_	WD16_RAS9_	WD30_FTS1_	WD30_FTS2_	WD30_FTS3_	WD30_MMS4_	WD30_MMS5_	WD30_MMS6_	WD30_RAS7_	WD30_RAS8_	WD30_RAS9_	WD1_RAS8_	WD46_FTS1_	WD46_FTS2_	WD46_FTS3_	WD46_MMS4_	WD46_MMS5_	WD46_MMS6_	WD46_RAS7_	WD46_RAS8_	WD46_RAS9_	XD3_ROTIFER	WD4_FTS1_	XD8_FEED	XD17_INCOMING	XD23_ALGAE	XD30_ART	XD8_FTS1_FEED	XD8_FTS2_FEED	XD8_FTS3_FEED	XD8_MMS4_FEED	XD8_MMS5_FEED	XD8_MMS6_FEED	WD4_FTS2_	XD8_RAS7_FEED	XD8_RAS8_FEED	XD8_RAS9_FEED	XD17_FTS1_FEED	XD17_FTS2_FEED	XD17_FTS3_FEED	XD17_MMS4_FEED	XD17_MMS5_FEED	XD17_MMS6_FEED	XD17_RAS7_FEED	WD4_FTS3_	XD17_RAS8_FEED	XD17_RAS9_FEED	XD26_ART	XD30_FTS3_LF	XD30_MMS6_LF	XD30_FTS3_FEED	XD30_MMS6_FEED	XD30_RAS9_FEED	BD4_M	BD4_G	WD4_MMS4_	BD4_R	BD8_M	BD8_G	BD8_R	BD16_M	BD16_G	BD16_R	BD30_M	BD30_G	BD30_R	WD4_MMS5_	FD8_FTS1_2	FD8_FTS1_3	FD8_FTS2_18	WD4_MMS6_
OTU_1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0
OTU_1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	7	0	0	25	1	0	0	0	0	0	0
OTU_1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13	0	0	0	0	0	0	0	0	0	0
OTU_101	0	0	0	0	0	0	1130	0	0	0	0	13	0	0	77	366	0	0	0	842	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1115	6	0	0	0	3	0	0	0	322	0	2	0	115	0	0	0	2	0	0	4	0	0	2	12	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	12	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	1436	0	0	1130	9	464	2	5	0	0	0	1	2115	1726	1510	136	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	16	6	0	0	0	0	0	0	21	0	9	14	0	1	0	0	0	0	3	14	0	989	18	15	1564	5	15	2231	42	69	1989	0	0	0	0	0
OTU_1010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	9	0	0	4	0	0	7	0	0	0	0	0	0	0
OTU_1012	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	1	0	1	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
OTU_1013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	10	0	2	3	0	0	8	0	0	0	0	0	0
OTU_1014	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_1015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
